feature,importance
hour,0.4050492266356219
temp,0.1973308301150492
event_None,0.13317598224531974
count,0.09306669247634473
humidity,0.07156249955408958
wind_dir,0.043938629407895446
wind_speed,0.025285579435089686
solar_radiation,0.008818079694248483
event_Transport road - Passenger car,0.006723229647920707
daily_rain_sum,0.0031004738555295967
rain_intensity,0.003049336026743577
month,0.0028572241265847464
day_of_week_Monday,0.002143588612185506
day_of_week_Friday,0.001491769502321236
event_Unsupported,0.0014224627896070256
day_of_week_Thursday,0.000790296192095552
event_Human voice - Shouting,0.00019409968335323344
installation_height,0.0
sky_view_factor,0.0
building_height,0.0
